Date,Open,High,Low,Close,Adj Close,Volume
2022-03-15,50.160000,50.630001,49.330002,50.110001,48.868420,25080600
2022-03-16,51.049999,52.220001,50.730000,51.599998,50.321499,34672800
2022-03-17,51.020000,51.490002,50.230000,51.480000,50.204472,29930300
2022-03-18,50.849998,51.540001,50.040001,51.419998,50.145954,60963400
2022-03-21,51.660000,51.799999,50.610001,51.139999,49.872898,23411500
2022-03-22,52.410000,54.200001,52.299999,53.389999,52.067150,28625600
2022-03-23,52.759998,53.049999,51.099998,51.119999,49.853394,27988700
2022-03-24,51.709999,51.820000,50.910000,51.330002,50.058193,19677800
2022-03-25,51.470001,52.590000,51.410000,52.560001,51.257713,19130900
2022-03-28,52.029999,52.110001,50.779999,51.810001,50.526299,24115400
2022-03-29,53.060001,53.299999,51.520000,51.599998,50.321499,20915000
2022-03-30,51.529999,51.680000,49.790001,50.110001,48.868420,30913800
2022-03-31,49.750000,50.430000,48.430000,48.459999,47.259300,31238500
2022-04-01,49.250000,49.470001,47.830002,48.709999,47.503105,29989900
2022-04-04,48.450001,48.660000,47.610001,48.459999,47.259300,23778300
2022-04-05,47.910000,48.900002,47.770000,48.119999,46.927723,21757300
2022-04-06,47.689999,48.080002,47.400002,47.889999,46.703426,26001200
2022-04-07,48.160000,48.299999,46.580002,47.740002,46.557140,29486500
2022-04-08,48.000000,48.889999,47.930000,48.730000,47.522614,23659800
2022-04-11,48.939999,50.189999,48.919998,49.330002,48.107742,27041000
2022-04-12,49.680000,49.900002,48.000000,48.419998,47.220287,25791900
2022-04-13,47.540001,48.619999,47.450001,48.540001,47.337318,20645300
2022-04-14,45.889999,47.820000,45.029999,46.349998,45.201580,65583200
2022-04-18,46.220001,47.580002,46.150002,47.169998,46.001259,26120900
2022-04-19,47.389999,48.189999,47.330002,47.830002,46.644909,19753300
2022-04-20,48.480000,49.369999,48.320000,48.650002,47.444595,25893000
2022-04-21,49.150002,49.490002,47.599998,47.779999,46.596149,19027600
2022-04-22,47.689999,47.919998,46.259998,46.340000,45.191826,21676800
2022-04-25,45.759998,45.970001,44.529999,45.830002,44.694466,30045500
2022-04-26,45.160000,46.000000,44.560001,44.580002,43.475437,21527400
2022-04-27,44.410000,45.189999,44.139999,44.580002,43.475437,19520900
2022-04-28,45.040001,45.310001,44.310001,45.169998,44.050816,17431000
2022-04-29,45.040001,45.400002,43.509998,43.630001,42.548977,27149400
2022-05-02,43.869999,44.040001,42.610001,43.669998,42.587982,25009300
2022-05-03,43.900002,44.639999,43.660000,44.160000,43.065838,21545300
2022-05-04,44.310001,46.130001,44.180000,45.980000,44.840744,29468000
